id,tarih,tf,sembol,karar,kod,skor,giris,stop,t1,t2,direnc,rr,durum,v
2026-07-16_ICUGS_gunluk,2026-07-16,gunluk,ICUGS,Long Adayi,5,84,5.75,5.3,6.43,6.66,6.93,2.6,TRAIL,3
2026-07-17_ARSAN_haftalik,2026-07-17,haftalik,ARSAN,Long Adayi,5,78,3.62,2.98,4.58,4.9,4.96,2.09,ACIK,3
2026-07-20_ULUUN_gunluk,2026-07-20,gunluk,ULUUN,Long Adayi,5,89,9.38,8.55,10.62,11.03,10.79,1.71,STOP,3
2026-07-21_GEDIK_gunluk,2026-07-21,gunluk,GEDIK,Long Adayi,5,88,7.03,6.41,7.97,8.28,8.05,1.63,STOP,3
2026-07-21_PCILT_gunluk,2026-07-21,gunluk,PCILT,Long Adayi,5,84,34.48,31.66,38.71,40.12,40.18,2.02,STOP,3
2026-07-22_DGGYO_gunluk,2026-07-22,gunluk,DGGYO,Long Adayi,5,84,39.66,35.97,45.2,47.04,49.3,2.61,STOP,3
2026-07-22_PKART_gunluk,2026-07-22,gunluk,PKART,Long Adayi,5,84,138.2,120.88,164.18,172.84,185.0,2.7,STOP,3
2026-07-22_SANFM_gunluk,2026-07-22,gunluk,SANFM,Long Adayi,5,84,9.69,8.92,10.85,11.23,10.98,1.68,ACIK,3
2026-07-23_TGSAS_gunluk,2026-07-23,gunluk,TGSAS,Long Adayi,5,84,180.6,174.0,190.5,193.79,200.9,3.08,ACIK,3
2026-07-24_ODAS_gunluk,2026-07-24,gunluk,ODAS,Long Adayi,5,89,8.52,7.85,9.53,9.87,9.71,1.77,ACIK,3
2026-07-24_GESAN_gunluk,2026-07-24,gunluk,GESAN,Long Adayi,5,85,81.3,75.28,90.33,93.35,93.7,2.06,STOP,3
2026-07-24_SMRTG_gunluk,2026-07-24,gunluk,SMRTG,Long Adayi,5,84,11.98,11.22,13.12,13.51,13.33,1.77,ACIK,3
2026-07-24_ANHYT_haftalik,2026-07-24,haftalik,ANHYT,Long Adayi,5,79,105.9,95.73,121.15,126.23,124.9,1.87,ACIK,3
2026-07-24_MRSHL_haftalik,2026-07-24,haftalik,MRSHL,Long Adayi,5,79,1718.0,1514.7,2022.95,2124.6,2650.0,4.58,ACIK,3
2026-07-24_ENJSA_haftalik,2026-07-24,haftalik,ENJSA,Long Adayi,5,78,105.4,93.02,123.97,130.15,127.9,1.82,ACIK,3
2026-07-27_SEKUR_gunluk,2026-07-27,gunluk,SEKUR,Long Adayi,5,84,10.85,9.26,13.24,14.04,13.25,1.51,GAP_IPTAL,3
