id,sembol,tf,tarih,giris,giris_fiili,stop,t1,t2,son_fiyat,getiri_pct,durum,R,gun,mfe,mae,son_tarih,v
2026-06-05_MAVI_haftalik,MAVI,haftalik,2026-06-05,43.6,43.4,39.12,50.31,52.55,42.0,-3.23,DEAD,-0.33,10,0.4,-0.51,2026-06-19,2
2026-06-08_MAKIM_gunluk,MAKIM,gunluk,2026-06-08,17.69,17.7,16.31,19.77,20.46,17.5,-1.13,TRAIL,0.75,10,2.3,-0.62,2026-06-22,2
2026-06-08_KRPLS_gunluk,KRPLS,gunluk,2026-06-08,9.4,9.5,8.85,10.22,10.5,9.47,-0.32,DEAD,-0.05,10,0.26,-0.91,2026-06-22,2
2026-06-08_BNTAS_gunluk,BNTAS,gunluk,2026-06-08,6.91,6.95,6.47,7.56,7.78,6.73,-3.17,DEAD,-0.46,10,0.1,-0.81,2026-06-22,2
2026-06-08_PAGYO_gunluk,PAGYO,gunluk,2026-06-08,131.7,134.4,121.59,146.86,151.92,145.0,7.89,DEAD,0.83,10,1.45,-0.52,2026-06-22,2
2026-06-09_ERSU_gunluk,ERSU,gunluk,2026-06-09,27.0,27.0,25.13,29.81,30.75,25.94,-3.93,DEAD,-0.57,10,1.5,-0.93,2026-06-23,2
2026-06-09_IZMDC_gunluk,IZMDC,gunluk,2026-06-09,7.93,7.96,7.1,9.17,9.58,8.65,8.67,DEAD,0.8,10,1.26,-0.31,2026-06-23,2
2026-06-09_MEGMT_gunluk,MEGMT,gunluk,2026-06-09,81.6,81.6,74.25,92.62,96.3,83.0,1.72,DEAD,0.19,10,1.07,-0.1,2026-06-23,2
2026-06-10_GSDDE_gunluk,GSDDE,gunluk,2026-06-10,13.76,13.69,11.7,16.85,17.88,12.45,-9.06,DEAD,-0.62,10,0.72,-0.65,2026-06-24,3
2026-06-10_CGCAM_gunluk,CGCAM,gunluk,2026-06-10,45.82,45.88,40.34,54.04,56.78,44.42,-3.18,DEAD,-0.26,10,0.49,-0.46,2026-06-24,3
2026-06-10_FZLGY_gunluk,FZLGY,gunluk,2026-06-10,16.2,16.25,13.92,19.62,20.76,14.37,-11.57,DEAD,-0.81,10,1.09,-0.82,2026-06-24,3
2026-06-10_BIMAS_gunluk,BIMAS,gunluk,2026-06-10,380.5,380.02,366.3,401.8,408.9,374.0,-1.58,DEAD,-0.44,10,1.26,-0.62,2026-06-24,3
2026-06-10_MEDTR_gunluk,MEDTR,gunluk,2026-06-10,30.48,30.46,29.09,32.57,33.27,29.9,-1.84,DEAD,-0.41,10,0.61,-0.72,2026-06-24,3
2026-06-17_AKFYE_gunluk,AKFYE,gunluk,2026-06-17,24.68,24.7,22.65,27.72,28.73,22.66,-8.26,STOP,-1.0,5,0.13,-1.02,2026-06-24,3
2026-06-08_ODAS_gunluk,ODAS,gunluk,2026-06-08,7.48,7.5,6.88,8.38,8.68,8.59,14.53,TRAIL,1.48,13,3.56,-0.73,2026-06-25,2
2026-06-12_SAYAS_gunluk,SAYAS,gunluk,2026-06-12,56.3,57.95,49.53,66.45,69.83,49.0,-15.44,STOP,-1.0,9,0.02,-1.12,2026-06-25,3
2026-06-15_MOBTL_gunluk,MOBTL,gunluk,2026-06-15,14.82,14.61,13.51,16.78,17.43,13.6,-6.91,STOP,-1.0,8,0.22,-1.39,2026-06-25,3
2026-06-18_HEKTS_gunluk,HEKTS,gunluk,2026-06-18,4.07,4.04,3.47,4.96,5.26,3.43,-15.1,STOP,-1.0,5,0.39,-1.14,2026-06-25,3
2026-06-19_BINBN_gunluk,BINBN,gunluk,2026-06-19,182.1,186.0,171.07,198.64,204.16,169.8,-8.71,STOP,-1.0,4,0.0,-1.1,2026-06-25,3
2026-06-19_EGSER_gunluk,EGSER,gunluk,2026-06-19,3.34,3.48,3.04,3.79,3.94,3.33,-4.31,GAP_IPTAL,0.0,0,0.0,0.0,2026-06-23,3
2026-06-19_KUVVA_haftalik,KUVVA,haftalik,2026-06-19,146.3,147.0,127.82,174.03,183.27,128.6,-12.52,STOP,-1.0,4,0.0,-1.02,2026-06-25,3
2026-06-12_SURGY_gunluk,SURGY,gunluk,2026-06-12,74.75,76.65,67.11,86.21,90.03,69.65,-9.13,DEAD,-0.73,10,0.12,-0.9,2026-06-26,3
2026-06-12_BVSAN_gunluk,BVSAN,gunluk,2026-06-12,127.0,129.0,115.14,144.79,150.73,117.7,-8.76,DEAD,-0.82,10,0.58,-0.86,2026-06-26,3
2026-06-12_MGROS_gunluk,MGROS,gunluk,2026-06-12,672.5,682.5,642.26,717.86,732.98,688.5,0.88,DEAD,0.15,10,0.75,-0.32,2026-06-26,3
2026-06-12_TGSAS_haftalik,TGSAS,haftalik,2026-06-12,173.0,176.9,153.45,202.32,212.1,168.8,-4.58,DEAD,-0.35,10,0.65,-0.38,2026-06-26,3
